,title,imdb,year,content,runtime,added,GAcAd,GAnimals,GAnimation,GAnime,GAnthology,GBio,GBuddy,GComedy,GComing,GConcert,GCrime,GDance,GDisaster,GDocumentary,GDocuseries,GDrama,GFamily,GFantasy,GFNoir,GGame,GHistorical,GKids,GLifestyle,GMedical,GMusic,GMusical,GMystery,GParody,GPolice,GProcedural,GReality,GRomance,GRomCom,GSciFi,GSoap,GSports,GSpy,GSuperhero,GSurvival,GTalk,GThriller,GTravel,GVariety,GWestern,link
65,Alvin and the Chipmunks: The Road Chip,4.8,2015,PG,92 min,"October 1, 2021",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/alvin-and-the-chipmunks-the-road-chip/
66,America's Funniest Home Videos,5.9,1989,TV-PG,3 Seasons,"July 19, 2023",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/americas-funniest-home-videos/
67,America's Funniest Home Videos: Animal Edition,,2021,TV-PG,2 Seasons,"July 20, 2022",False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/americas-funniest-home-videos-animal-edition/
68,America's Greatest Animals,6.0,2012,TV-PG,90 min,"June 5, 2020",False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/americas-greatest-animals/
69,America's Heart & Soul,4.9,2004,PG,88 min,"November 12, 2019",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/americas-heart-soul/
70,America's National Parks,7.8,2015,TV-14,1 Season,"January 15, 2020",False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/americas-national-parks/
71,America's National Parks,7.5,2022,TV-PG,2 Seasons,"June 7, 2023",False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/americas-national-parks-2/
72,American Blackout,6.6,2013,TV-14,88 min,"January 27, 2023",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/american-blackout/
73,American Born Chinese,,2023,TV-PG,1 Season,"May 24, 2023",True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/american-born-chinese/
74,American Dragon: Jake Long,6.4,2004,TV-Y7,2 Seasons,"February 26, 2021",True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/american-dragon-jake-long/
